family_external_id,local_path,alt_text,title,image_type,width,height,file_size,local_filename
43826,images/bim_families/image_4_bimlib67225873c1a8b6a5d2e2d794ab4cda4b.jpg,Дверной замок SVP 2361,,general_selenium,100,100,2408,image_4_bimlib67225873c1a8b6a5d2e2d794ab4cda4b.jpg
43826,images/bim_families/image_5_DCS_m_Lobby_Montage_02%20(1).jpg,Schüco Дверная система Сборник,,general_selenium,207,207,33918651,image_5_DCS_m_Lobby_Montage_02%20(1).jpg
43826,images/bim_families/image_6_aee51c07-2155-476e-93e8-d2b250ece6fc.jpg,Schüco,,general_selenium,159,159,4608,image_6_aee51c07-2155-476e-93e8-d2b250ece6fc.jpg
53516,images/bim_families/image_1_dpm260%20+%20nippel.jpg,"Дверь противопожарная ДПМ-Огнедекор-02/60, ниппель",,general_selenium,207,207,36070,image_1_dpm260%20+%20nippel.jpg
53516,images/bim_families/image_2_c50f0a85-d05d-4fc8-8725-c06a92f71bc3.jpg,ДВР центр,,general_selenium,159,159,5810,image_2_c50f0a85-d05d-4fc8-8725-c06a92f71bc3.jpg
31609,images/bim_families/image_1_bimlibf79728ed4b5dcf66d67b5b205e31d3af.jpg,,,slider_selenium,306,200,5295,image_1_bimlibf79728ed4b5dcf66d67b5b205e31d3af.jpg
31609,images/bim_families/image_2_bimlib0dbae77b02580c359bbcb2d1607ee646.jpg,,,slider_selenium,306,200,22712,image_2_bimlib0dbae77b02580c359bbcb2d1607ee646.jpg
31609,images/bim_families/image_3_bimlib35f65df85342f165eb43f1e17ae92c91.jpg,,,slider_selenium,306,200,27985,image_3_bimlib35f65df85342f165eb43f1e17ae92c91.jpg
31609,images/bim_families/image_4_bimlibf79728ed4b5dcf66d67b5b205e31d3af.jpg,Дверь одностворчатая WHS 60,,general_selenium,207,207,3011,image_4_bimlibf79728ed4b5dcf66d67b5b205e31d3af.jpg
31609,images/bim_families/image_5_8911b7de-3537-4a70-858c-eea4a8ee7d4c.png,VEKA,,general_selenium,159,159,11658,image_5_8911b7de-3537-4a70-858c-eea4a8ee7d4c.png
